Unnamed: 0,name,original_style,brewery,abv,ave rating,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,state,country,retired,style,milk,old,dark,wild,pale,red,imperial
87,Barrel Roll No. 4 Wing Over,Barleywine - American,Hangar 24 Brewing,13.8,4.09,60,100,9,60,79,42,92,11,0,28,38,24,137,CA,US,f,Barleywine,0,0,0,0,0,0,0
89,Chicken Killer Barley Wine,Barleywine - American,Santa Fe Brewing Company,10.0,3.72,60,100,13,41,40,61,85,38,0,47,61,4,104,NM,US,f,Barleywine,0,0,0,0,0,0,0
90,Day & Night,Barleywine - American,Trillium Brewing Company,10.0,4.2,60,100,19,69,22,137,154,49,8,61,49,32,230,MA,US,f,Barleywine,0,0,0,0,0,0,0
91,Olde Bluehair Barley Wine,Barleywine - American,Big Sky Brewing Company,12.0,4.04,60,100,10,53,63,53,71,22,1,32,56,23,114,MT,US,f,Barleywine,0,0,0,0,0,0,0
92,Old Blarney Barleywine,Barleywine - American,Moylan's Brewery,10.0,3.87,60,100,14,66,38,61,107,39,0,64,69,6,119,CA,US,f,Barleywine,0,0,0,0,0,0,0
93,Hell On Wood,Barleywine - American,DuClaw Brewing Company,13.1,4.02,60,100,7,66,93,34,92,32,0,55,22,33,102,MD,US,f,Barleywine,0,0,0,0,0,0,0
94,Druid Fluid,Barleywine - American,"Middle Ages Brewing Co., Ltd.",9.5,3.94,60,100,25,55,39,90,116,56,3,88,105,4,102,NY,US,f,Barleywine,0,0,0,0,0,0,0
95,Holidale,Barleywine - American,Berkshire Brewing Company Inc.,9.5,3.9,60,100,15,72,50,79,103,42,0,53,69,27,107,MA,US,f,Barleywine,0,0,0,0,0,0,0
96,Old Howling Bastard,Barleywine - American,Blue Point Brewing Company,10.0,3.87,60,100,9,59,37,45,100,34,0,44,60,11,115,NY,US,f,Barleywine,0,0,0,0,0,0,0
97,New Crustacean,Barleywine - American,Rogue Ales,11.6,3.89,60,100,8,43,38,65,71,45,1,66,81,5,70,OR,US,f,Barleywine,0,0,0,0,0,0,0
98,Santa Vs. Unicorn,Barleywine - American,Pipeworks Brewing Company,10.0,4.01,60,100,14,53,26,76,69,38,0,47,99,13,102,IL,US,f,Barleywine,0,0,0,0,0,0,0
99,Old Backus Barleywine,Barleywine - American,Free State Brewing Co.,10.5,4.24,60,100,7,62,45,56,127,39,1,49,62,4,108,KS,US,f,Barleywine,0,0,0,0,0,0,0
100,Bourbon County Brand Barleywine Ale,Barleywine - English,Goose Island Beer Co.,14.4,4.55,40,60,5,76,72,37,132,30,0,69,17,36,163,IL,US,f,Barleywine,0,0,0,0,0,0,0
101,§Ucaba,Barleywine - English,Firestone Walker Brewing Co.,12.5,4.55,40,60,5,51,74,24,105,23,0,50,19,18,112,CA,US,f,Barleywine,0,0,0,0,0,0,0
103,Blithering Idiot,Barleywine - English,Weyerbacher Brewing Co.,11.1,3.7,40,60,2,44,47,29,138,26,0,62,31,15,97,PA,US,f,Barleywine,0,0,0,0,0,0,0
104,Mother Of All Storms,Barleywine - English,Pelican Pub & Brewery,14.0,4.48,40,60,10,66,86,37,156,34,1,77,12,27,168,OR,US,f,Barleywine,0,0,0,0,0,0,0
105,Old Foghorn,Barleywine - English,Anchor Brewing Company,10.0,3.94,40,60,10,62,37,56,116,36,0,82,64,15,110,CA,US,f,Barleywine,0,0,0,0,0,0,0
106,Double Double Barrel Ale,Barleywine - English,Firestone Walker Brewing Co.,12.0,4.32,40,60,10,45,49,16,67,13,0,35,9,32,101,CA,US,f,Barleywine,0,0,0,0,0,0,0
107,Mirror Mirror,Barleywine - English,Deschutes Brewery,11.0,4.27,40,60,18,56,19,32,119,28,0,77,29,18,104,OR,US,f,Barleywine,0,0,0,0,0,0,0
109,Arctic Devil Barley Wine,Barleywine - English,Midnight Sun Brewing Co.,13.2,4.38,40,60,10,72,69,28,123,23,0,49,23,24,141,AK,US,f,Barleywine,0,0,0,0,0,0,0
111,Straight Jacket,Barleywine - English,Revolution Brewing,15.0,4.35,40,60,10,65,89,42,120,30,0,70,24,43,151,IL,US,f,Barleywine,0,0,0,0,0,0,0
112,Bourbon Barrel-Aged Barley Wine,Barleywine - English,Kuhnhenn Brewing Company,14.5,4.44,40,60,7,47,94,24,99,14,1,44,8,25,123,MI,US,f,Barleywine,0,0,0,0,0,0,0
113,Aaron,Barleywine - English,Hill Farmstead Brewery,9.0,4.63,40,60,11,63,77,13,154,23,0,68,13,35,140,VT,US,f,Barleywine,0,0,0,0,0,0,0
116,Mash,Barleywine - English,The Bruery,12.5,4.09,40,60,10,66,79,30,117,26,1,64,20,36,146,CA,US,f,Barleywine,0,0,0,0,0,0,0
118,Leon,Barleywine - English,Cigar City Brewing,13.0,4.46,40,60,5,54,64,6,151,36,0,51,4,14,120,FL,US,f,Barleywine,0,0,0,0,0,0,0
119,Bligh'S Barleywine Ale,Barleywine - English,Dry Dock Brewing Co.,10.0,4.39,40,60,4,62,64,13,123,31,0,46,7,18,96,CO,US,f,Barleywine,0,0,0,0,0,0,0
122,Mash & Grind,Barleywine - English,The Bruery,12.5,4.23,40,60,18,57,71,96,67,11,0,12,17,25,186,CA,US,f,Barleywine,0,0,0,0,0,0,0
124,London Balling,Barleywine - English,Against The Grain Brewery & Smokehouse,12.5,4.18,40,60,9,56,72,44,109,21,0,42,48,25,131,KY,US,f,Barleywine,0,0,0,0,0,0,0
125,Ridge Runner,Barleywine - English,Rock Art Brewery,7.2,3.47,40,60,9,53,20,27,80,22,2,45,29,5,114,VT,US,f,Barleywine,0,0,0,0,0,0,0
128,Irish Walker,Barleywine - English,Olde Hickory Brewery,10.14,3.97,40,60,7,83,62,58,186,52,0,105,40,17,170,NC,US,f,Barleywine,0,0,0,0,0,0,0
129,Criminally Bad Elf Barleywine-Style Ale,Barleywine - English,Ridgeway Brewing,10.5,3.47,40,60,13,63,52,34,125,44,0,82,52,14,92,GB2,GB,f,Barleywine,0,0,0,0,0,0,0
